index,project,queue,template,name,start,due,id,zone
45,CSG1-Robin-Retrofit-2024-slKivaA02,AR FSS - v2,Perimeter Safety Controller Workscope,2330 - Perimeter Safety Controller Workscope,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2330,slKivaA02
64,CSG1-Robin-Retrofit-2024-slKivaA02,AR FSS - v2,Perimeter Safety Controller Workscope,2375 - Perimeter Safety Controller Workscope,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2375,slKivaA02
32,CSG1-Robin-Retrofit-2024-slKivaA02,AR FSS - v2,Perimeter Safety Controller Workscope,2155 - Perimeter Safety Controller Workscope,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2155,slKivaA02
48,CSG1-Robin-Retrofit-2024-slKivaA02,AR Perimeter Guard - v2,Swing Gate Workscope,2335 - Swing Gate Workscope,2024-08-01T00:00:00.000Z,2024-12-31T23:59:00.000Z,2335,slKivaA02
31,CSG1-Robin-Retrofit-2024-slKivaA02,AR Perimeter Guard - v2,Swing Gate Workscope,2154 - Swing Gate Workscope,2024-08-01T00:00:00.000Z,2024-12-31T23:59:00.000Z,2154,slKivaA02
63,CSG1-Robin-Retrofit-2024-slKivaA02,AR Perimeter Guard - v2,Swing Gate Workscope,2374 - Swing Gate Workscope,2024-08-01T00:00:00.000Z,2024-12-31T23:59:00.000Z,2374,slKivaA02
24,CSG1-Robin-Retrofit-2024-slKivaA02,AR Stations - v2,100. Robin,2141 - 100. Robin,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2141,slKivaA02
24,CSG1-Robin-Retrofit-2024-slKivaA02,AR Stations - v2,200. Robin,2141 - 200. Robin,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2141,slKivaA02
24,CSG1-Robin-Retrofit-2024-slKivaA02,AR Stations - v2,300. Robin,2141 - 300. Robin,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2141,slKivaA02
24,CSG1-Robin-Retrofit-2024-slKivaA02,AR Stations - v2,400. Robin,2141 - 400. Robin,2024-03-04T12:00:00.000Z,2024-07-05T23:59:00.000Z,2141,slKivaA02
